target,test_subject,loss_rate,n_removed_channels,actual_removed_fraction,n_model_seeds,masks_per_subject_per_model_seed,accuracy,balanced_accuracy,macro_f1
content_function,YRK,0.0,0,0.0,5,1,0.47208569628229363,0.5973237652549634,0.4690181197419845
content_function,YRK,0.1,10,0.09523809523809523,5,20,0.4741251837849192,0.5961721689900102,0.4688964747245718
content_function,YRK,0.25,26,0.24761904761904763,5,20,0.44259819365679476,0.581641244232492,0.4343715128150133
content_function,YRK,0.5,52,0.49523809523809526,5,20,0.3963180004200798,0.5622120870598322,0.3853501333790349
content_function,YRP,0.0,0,0.0,5,1,0.6276065276518586,0.5817523931992186,0.5664518582803455
content_function,YRP,0.1,10,0.09523809523809523,5,20,0.6083454215775159,0.5795735659766124,0.5572782926900685
content_function,YRP,0.25,26,0.24761904761904763,5,20,0.5911151405258387,0.5786404877333486,0.5485629317387918
content_function,YRP,0.5,52,0.49523809523809526,5,20,0.5357320942883046,0.5703547677829652,0.5115572545498057
content_function,YSD,0.0,0,0.0,5,1,0.5954802259887007,0.6268764495045331,0.548635812392426
content_function,YSD,0.1,10,0.09523809523809523,5,20,0.5866340721425466,0.6239426962541289,0.5422562425730558
content_function,YSD,0.25,26,0.24761904761904763,5,20,0.5719122120817037,0.6189007836109355,0.5314226427145531
content_function,YSD,0.5,52,0.49523809523809526,5,20,0.5256497175141244,0.6059899588867805,0.4973951888508633
content_function,YSL,0.0,0,0.0,5,1,0.6235925925925926,0.5924129301382748,0.5791624081147678
content_function,YSL,0.1,10,0.09523809523809523,5,20,0.617512962962963,0.5938917531481158,0.5771487347610861
content_function,YSL,0.25,26,0.24761904761904763,5,20,0.6053962962962963,0.5989206059911256,0.5752001036175771
content_function,YSL,0.5,52,0.49523809523809526,5,20,0.5510685185185185,0.5903258166341412,0.5342590691869467
content_function,YTL,0.0,0,0.0,5,1,0.6238510762070971,0.5996162458932471,0.5803523104002386
content_function,YTL,0.1,10,0.09523809523809523,5,20,0.611588132635253,0.5984067541464164,0.5729963336443165
content_function,YTL,0.25,26,0.24761904761904763,5,20,0.5940159007174713,0.5972321969046863,0.5620740352616973
content_function,YTL,0.5,52,0.49523809523809526,5,20,0.5333488462284273,0.5855111621382878,0.5135928432233481
